sentence,char_count
"mi  order dilam 3 set mane 6×3=18 ta ! 
otch ama  dilo 6 ta😡😡😡😡
ken?😡😡😡
mi  tk and die aaisa pchhi  
after  eitar  krmkta vaiar shathe word bllam  vaia bllo return  korte 
return    korlam ejap e otch they kno mesej i dei nah 
ki ek ta obstha 😡😡😡
mi rvw  dite chainai 
na paia gave😡😡😡

 delivarir vaiader savis  bhaloi
tb slr er savis ekdm vlo na  
pekejing o vlo na patla ekta   kagje die pekejing  krchhe",416
prod onek bhalo।,20
fabric er qlty motamuti valooo tobe stitch lil bit nimno maner,57
onk vlo quality,15
size choto hoice,15
sem  paichhi🫰🌺,12
👍 balo,6
Onek valo,9
gud,3
bhai,3
bhal,4
"Not Very Good products  
it onekdin age ponno dekhe mone h puratn he geche chlar mto",82
"khubi baje ovijnjta holo 🤬 6 ta prodakter modhje 3 tatei kivabe demej thake! ar baki gula ja ektu bhlo ace tao again ekekta ekek size konta kt size lekhao nai 👎🏿

srbopri sbaike blbo lokal markete egula 20/25 bdt kore dekhe shune to buy parben। ei seller thke 100 hat dure thaken।",273
alhmdu prais according to khb valo। tb kapdta arektu bhlo quality er krle onk shundor hto। selsmjan o kub bhalo bebahar kreche।,128
"prodak bhlo ase ,,,,,
knt size r sthe keno match nah,,,
sz deja hiche ek and sz deja hiche choto ,,,",103
prthme iktu vje vje chhilam kemn hobe ato kom damer jinis kintu ami obak hje gelam packet hand e paojar pr truly eto less price e eto valooo kmb hope kori naai dhonnobad darajke & thx seller vaijake 🥰🥰,194
alhdlh bhalo। tobe ek ektar size ekekrkm।tb prdt r koaliti valooo,76
"kap gulo khb bhal alhmdu। emon ta cheechhi like that ta paisi,sobai to buy paren, khub i aramdak, 😍sob sm i use kora will go।dlvry and khb taatai peechhi alhamdulillah। dlv man r use and khub bhalo। alhdlh emon vlo maner prod khb less dame pee khub happy alhdlh। thnks daraz ke and dlvry bro ke ato kom price e ar ato taatai  delivery deoar jnno 🥰🥰🥰।all kinte paro asa kori sbar i bhalo lagbe🥰🥰🥰",421
thank you 🙏😊,12
dam onujai kharap na valoi hhghhhhhhg,37
khub bhal apnara caile nite paro,32
eta khub valo cloth & shundor  apnara caile nite paro aami er ageo daraz from onek kichu nijechhi shobguloi bhlo pichi,114
alhamdulillah prdt gulo onk vlo jemnta chejechhe ok temni pejechhe sobai nite paro,88
Alhamdulillah,13
"100% Recommended. Best Class & Genuine Product. Millions of Thanks to the seller.😍😍😍 lojest prais, hajest quality। kenar prjojn hole, late nah kre, e bikretar kachh theke fast buying nin; because er thke kme daraje and kothao paben nah❤️ QUALITY & PACKAGING 100/100; no dag/spt nah, ekdm jhkjhke❤️ khb fast delivery peechhi। pkg kub bhalo vabe krchhen ejnj abaro dhonnobad!",374
"onk bhlo kpor 👍👍👍👍👍
💐💐💐💐💐💐💐💐💐💐
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍
and  kub shundor
😍😍😍😍😍😍❤️❤️❤️",82
emon ordr krchhilam tar thekeo onnk valo hjechhil dhonyobad slr vaike onnk bishbst chhele apnara jodi chao nite paren unar with kotha ble,127
prod gulo ank sundr bhal ace caile sobai niye paro ami nijechhi chhjta chhelar bhai onnk valooo kub quickly dlvry gave dlv bro onnk vlo silo jujel vaija,170
dine ponno hate esechhe! kaper standard avg valooo।but ei price e lkel bajarei paoa jeto! darajer uchit delivery charge also kmie ana then vlo seil krte parbe।,154
emon prod order korechi  thik temntai peyechi। darajer selsmjaner bebohar khubi bhal। takeo onnk tnx।,108
"prodact bhalo ace apnara chaile nite paren amra ja paise bhal paichi bakita  apnara bujhe niben 
fabric giving por clr jai",119
product gulo jkhn redi koren sz dekhen naa chokh ki basaj rekhe asen naki arek sizing gula dije den phaijlami koren so naa delivery charge baraichhen ultapalta prdt den nekst taim ultapalta prod actly apnader ma bon nije kotha hbe,236
hjan aeta aslei osadharon sbai nite paro u all thnks r dlv bro vaio onk valooo take kicu tips dite chai abar dekha hole dhonnobad,135
bhlo bdi saich  chhara 2 thke 3 saij kom nite hbe then valo fit hbe emni te khalo daam hisabe valo ase apnara chaile nite paro,123
"kontai size level lagano chilo na। size shob ek cilo na।
tb phrebiks onek valo  dam hishebe sobai nite paren।",106
kub balo products,17
jemon dekhechi temni paisi daam onujai prod ta bhaloi ace caile sbai niye paro tnx  👍,90
sei,3
emon mone krechi tar chejeo onnk onek bhalo,40
"avg bhaloi ace pte bhaloi aramdak 
nite paro",50
Khub valo,9
"product khb mansmmt cilo, dhonyobad daraj ke",40
vinn ta clr pichi prtiti kalari khub sundr praij hishebe qlty jthesht valooo।,86
"jodi chao apnara sbai nite paren,,, aamar mne hoy na e price e onj kothao erkm product paben",85
"kub bad eksperijens,, ekhane lekha silo chhj pcs bt amake gave onli dui pcs",83
"delivery dite eto sm legechhe, je jei map odar diechhi
34/now he geche 38 hasbjkr",81
bs mi 34 sz order dichilam kintu hosse na eigula rirtan die 38 deoa jabe?,80
khb spht। bhalo chilo। thanks slr ke 🥰,39
vlo chilo,9
onnk valo jinsh peechhi,22
"khub e vlo।  black, lal, and halka golapi clr peechhi duiti kre 6 ta। tnx।",76
mashallah jemnta pic dekhchhilam temntai pichi thx daraz ke o seller vaikeo,77
gddd,4
valo,4
khb sundor eta,14
eto less takr modhje kubi sundor ekta jinsh kap ank aram bhlo sbai niye paren,75
ank bhalo,9
"jinish gulo onnk vlo 🥰
r delivery men onek valooo ❤️🥰
tnx daraz❤️👍",69
Products er maan onk vlo,24
price onujayi valo 🙂🙂,21
"cloth ta thin kintu onk soft, aramdajk 💝 daam onushare ok ache 👍",65
valo cilo,9
pro daktar manta onnk bhal ja vebechhilam his/her chaite vlo,56
alhmdu,14
cloth ta onk baje pdte vlo feels na mane kom price e bhal,55
6 pc nichhi matr 3 color dicche 6 ta 6 colour de nai 😡😡,53
dam hisabe valoi।tobe price er chee dlvry charchi beshi,52
"khubi valo  prdt ,,,,, apnara chaile nite paren।",51
jemon chhbite  dekha ja oto valo na ache motamoti bhlo,50
bro apnader prod tk ache but onekta luj hoi,51
"masha-allah onk bhalo jinis gulo,, sobai niye paro",50
"order dichhi chhtar set aschhe onj dui rkm duita,,,,,",50
pekejinta sundor cilo kintuu kap gulo khb thin,49
thnks seller ke bhlo prdt jodi chao nite paren,48
koaliti valooo। ekdm sem pikcharer mt। nite paro,47
"Product: valo item। 
2 bar bought, ok ache।",44
kapr kujaliti onek valo apnar and nite paren,43
"brabr paisi। khub druto।
and bhal dam onujai",43
alhdlh bhaloi prchhe amar shob guloi ❤️,42
tnx prodaktti mi peyechi khub e valooo।,42
daam anujaji prod osmvb sundr 😍😍,38
khb vlo photak talk kaje match ase thx,39
order anujaji pichi। thnks selake।,40
daam onujai kubi bhalo and kap & valo 🌸,38
"dekhte sem tu sem na, kapor motamuti ase",39
"shob guloi ok chilo,,kaper standard & bhal",36
"chhj pc lekha ace kintu gave char pcs.
kaporer qlt avg valooo kintu chhj piser kotha ble 4 pc deja evabe lok thkano ok naa, thanks",141
"proman din apnaka ami 12 pcs gift korbo , keno amon korean apnara",65
6 piser modhje 4 piece rijekt। 2 piece bhlo।,40
bhal। spht ktn e e price e thik ace।,32
aami jemon chejechhi temon pichi,29
"ank bhalo chilo, thjangkiu drz!",31
price considering ponno mutamuti bhal।,30
vlo bt kpor ektu patla,28
je chaichhilam his/her b ta pachhi,27
valoi jodi chao sbai niye paren।,28
"sbi tk chilo, ek ta phuta chilo",27
price onujai standard kub kharap,25
onnk bhal all nite paro,25
motamuti bhalo neja jay,24
damer tula nei onek valooo,24
phaltu drz fraudster chkr,24
ok ase sbai niye paren,23
prodaktta onek bhal,21
tme mt dlv hoice,23
dam as tk ache bat 2 hour prar  pr i luj he ja।,54
onek shundor product,21
"valo chilo quality,✨🤝",21
onnk shundor prdt,21
"vlo, all niye paren।",21
onk valo product ❤️❤️,21
khub valooo niye paren,19
Thish item is cool😎,19
bhaloi chilo avg,19
Comportable to wear,19
Alhamdulillah valo,18
quality balo asee,17
3 din use korte na korteI noshto hoye gelo.. ei dam e ei quality?? daraz k ami blbo ki.. very disappointed 😞,108
koaliti ekdm bad,18
Sob thik thak cilo,18
it's very good 😊,16
prodaktti valoi,16
ei dame khub e valo,17
sobai niye paren,15
Value for price!,16
onk bhlo hechhe,15
onnk bhalo cilo,14
kualiti vlo।,14
Alhamdulilah,12
nais product,14
khub valo hechhe,13
like that bhal na,12
khubi valooo,9
motamuti ache,12
onk sundor,11
soft Kapoor,11
balo cilo,9
"price onujai  vlo  prodact। 
tobe bebohar krar after bujhte parbo  kt bhal 
kalargulo shundor",90
valooo cilo।,10
thank you,9
Thank you,9
Valo asa,8
vlo,3
Evarege,7
bhlo na,7
nais,4
avareg,6
bhal ache,8
it's good,9
valoi,5
"pnjtir gunogot maan, price r kretar sntushti orjne amdr beside thakun। 
thanks",81
osadharon,7
sundr,6
motamuti,8
yui8u,5
kharap naa,8
valooo chilo,8
"apnake thx aapnar mtamter j। mi sbsm cheshta kori jen cstmr bhlo prodakti pan। still jodi no jaga apnar prtjasha purn na he stays, mi antrikvabe duhkhit।
u caile smsjata ek tu bistarit blle ami sngge sngge smadhan kore deb। apnar sntushtii amar prthm Priority",277
dam  anujaji moderate works,26
"bhalo chilo, knt kap luj he ja keno?",40
tik ase Alhamdulillah,21
ank bhal aramdajk ❤️,22
valoi jodi chao all niye paren,27
stitching khb bhlo,14
onek valo,9
avg valo। tobe phitagulo lus h।,35
midiam koaliti,16
sz ok cilo naa। ekekta ekek size chilo। koaliti bad।prthm dhoatei clr uthe went। seller mesejer kono uttr giving na।,114
"sthik shomoy dlvry pichi। dlvry bro khb bhal। knt seller je color ejad diyeche। sei colour dejni, it khub e bad work।seller er word kaje mil nah।",152
"sob gulo ek sz na boro small ace, e mto prodact dile to thik naa",63
alhamdulillah prodact onnk bhalo chilo and slr bro onek bhal,61
"daraz thke jinish kine ami rlly mrmaht! cheechhilam 32 sz,dilen 40 size।eta kono dhrner scam apnader?",104
"puai phaltu,  kmb order krchhi ek ekta ek ek sz gave। daraz thke aami less kore 100+ ordr krchhi ei nie 2 bar bad kichu pelam। 🙂",129
avg valo ache,17
price hishebe tk ase,18
"alhamdulillah ato valooo jinis asbe aami vabi naai taka anujaji onek vlo jinsh dichen,,,
tnx daraz tim k",101
price onujai bhalo maner product,32
apnar ki dharona acha apni koto kora product ta niyachan ? ki chan apnara?,74
mobaile vlo vabe fit hechhe । photo er mti dekhte ।,45
"to say kicu nai। khubi bhlo legechhe ponno gulo, seller sthik ebong quality smmt ponno pathiechhe। thnks seller ke r sei thnks janacchi drz tim ke sthikvabe dlv dear jonno। 👍👍👍",171
thx apnar mtamt shear korar j। NeWind er sathe thakar j dhonnobad।,71
"bhaloi ase, thikmto lagchhe",23
countless thx daraz ke। product khub e bhal।amar kubi  fav hichhe। and raidar vaita & khub e vlo।,95
Vivo V40 5G Purple 💜 color e kalartar with onek shundor mjaching hoyeche। sobai nite paren khubi karjkr & iunik to see takes। jodio aamar phonta ojatarpruph soundrjer j nijechhi 🥰,177
"slr ke tnx। prdt koaliti bhaloi। pkg tao vlo cilo।
but dam arektu kom hole vlo hto।
dlvry man kub vlo।",127
"moderate valo 
agerbar ami ekta order krchhilam ota ek tu fat cilo lil bit shokt chilo 
onnk thin onnk norom 
pjaketing kore nai। ebar ekta bkser vitre deja  uchit cilo shudu e etai gave r kicu na",190
vaia dlv man।hito pkt chhie pelechhe।,46
"alhamdulillah!
shobkichu fav mti hechhe & decent ache🥰❤️
matr dine delivery peechhi🥰❤️
selarer respns kub valo🥰❤️",116
apnar muljban mtamt prdan korar jonno apnake janai lots thx।,66
it's really amazing tools for Smartphone users (take risk for you own obishbasi mn onlain theke kono jinis kry krle ta kkhni valo hy na),137
jinsh valoi kintu price besi aamar mne hoi  damta arektu kom hoja uchit। packing sundr pochondo hoice aamar packing।-🤟🥰🌹💐,119
"ur muljbam mntbj prdan krar jnno apnake let know lots thnks। 
price kmanor jonno amdr pksh from jthesht cheshta thakbe।",123
khb valooo kajer jinsh caile nite paro।,38
dhonyobad ur mtamt shear krar j। NeWind r sathe thakar jnno thanks।,71
tnx dha‌rajke ato sundor ek ti ponno giving jonno। emon chejechhi like that peyechi। thx seller ke।♥️,96
"alhmdu onnk bhal 🤩
dhonnobad darajke emon chejechhi like that peyechi। selarkeo onek dhonnobad 💖",93
thnks dha‌rajke ato shundor ekti ponno deoar jonno। emon chejechhi like that peyechi। thnks seller re। asha onur up ank agei pichi।,125
"alhdlh prdt onek valo। phiting sundor hoice।
packaging bhalo silo, tnx।",84
"prthme seller ke onnk onnk dhonyobad , keno nah sm mt delivery deoa  jnno। apnara sobai niye paro mobaile jnno  onek  sundor ekta sephti mi ek mas pr rv  gave nichinta niye paren।",181
prod tk ace bt ot beshi kajer nei gulo just shudu tk noshto korlam mone hl,80
"alhmdu onnk sundor hoice
 but dlvry charjta onek more mone hosse",78
alhmdu ok ok vabe aschhe r product & bhal। bhalo vabe phone phit hechhe।,74
jemne seen temni pichi valo koaliti product tnx darz & New wind,70
alhdlh shobkichu ok ok pichi। color and prodact shobkichu thikthak।,70
thank you sir..😊,16
skle niye paren eta product valooo ache ar slr vaier use and ank bhlo cilo ❤️🥀❤️,84
alhamdulillah onnk bhal paisi but damta onekta more hje geche,65
"jemon dekha jacche temni pawa geche thanks। 
dokandarke dhonnobad",63
dhonnobad ❤️,10
alhamdulillah bhal prodaktti hate peyechi thx apnaderke,62
apnake & janai countless tnx ❤️,32
jemon cayechilam temni pichi thnks seller vaike,49
apnakeo thnks ato shundor mntbj deoar jonno।,46
thank you...❤️😊,15
alhamdulillah valo daam beshi hleo nite paro,45
khb khb bhlo  sobai niye paro  mi nisi 20 ta,45
ei prodaktta onk valo chilo sobai niye paro,44
thank you...😊,13
valoi jinish। daam ta ek tu kom krle bhlo hto 😊,43
thank you 🥰,11
thank you much...❤️,19
aami je prnti nia chilam onek bhalo pichi,42
tnx ato sundor review deoar j। ❤️,39
"oshadharon! 
price onujai prod ekdom parpekt।
mobailer shathe valo vabe edjast hechhe।
thank you daraz🥰",101
"ank less price e bhalo jinish gave,delivery onek druto pichi.. mi eikhane thke tinta nijechhi shob guloi amazing cilo,thx seller ke।",131
prdt onnk bhal cilo all niye paren,39
thikachhe bat daam ta 60/70 hole ok cilo।,37
onk sundr mobailer shathe phiting hichhe,36
good product sbai nite paren,28
thank you sir...,16
ponno bhalo cilo।but mi ek ta order dijechhilam dil duita eta ki rkm hlo।,73
thank you 😊,11
aamar kachhe valo legechhe।,22
prodaktti khub vlo,20
seller khb bhlo kalota chaichhi setai paisi,39
prod bhal all niye paben,29
oshadharon Ekta Gadget 🥰😍,25
onk valo seemed jemnta cheechhilam ok like that pelam....dlv vaiatao onek valo....thanks daraz 😊🥰,97
"rlly osadharn jinish phoner shathe parphekt phiting hichhe,,2 diner mdhjei packet hand e peechhi,,,delivery bro vai keo ank thx,, uni khubi bndhu sulv and helpphul manush",167
"alhmdu khub sundor ekti prodact, pjaking khub bhlo chilo,",64
bhal bt dam onk bsh....... price 30/40 takar modhje hole hoy,62
alhamdulillah।  jemon cheechhi like that peechhi।  aamar prod ta onek valooo।  apnara & niye paren,92
alhamdulillah valoi..,21
"mashallah ,onek shundor,jemon cheechhi।like that peechhi,tnx daraz r seller ke,hope kori aro dur egie jabe drz tim।।💝",113
"podakt ti onek bhal maner bt deli vari time ta ek tu beshi laglo , ar daam ta ✌️ ek tu beshi hje jai",102
"jinis ta daam hishebe khb bhlo
caile apni niye paro,,,,
aami 2 ti nie c,,,, 👌👌👌👌👌👌👌♻️♻️♻️♻️♻️♻️🇧🇩🇧🇩🇧🇩🇧🇩",102
"dhonnobad chhelar ke sem prod deoar jonno 👍
oshadharon ekta prdt 🥰 ank helpphul ek ta item।",96
"oshadharon ek ti product। AMAZING😍😍😍😍
 je keu nite paren। tachhada sbcheje beshi sundor legechhe packing r baksti। thnks drz tim।",132
"Good. product bhal silo, but dlv sistem ta valona darajer।",67
khub vlo bt vabte parini plastic er hobe,45
"product ta osadharn, onk upkari ek ti item। dhonnobad let know drz ke, dhonnobad slr।",83
"e prodaktti 10 e 10 dilam tb 


5 day let kore tarpr paichi hthe😩",66
onk bhaloi ekta jinsh  niye paro,33
brabrer mtoi prfct product peechhi। tnx seller ke 👍,53
"thx darajke, khb olp sme delivari karar jnno, raidar er use onk vlo।",79
sundr hoyeche,13
vlo item,9
💯 90 item as dam beshi।,27
onnk sundor ek ti prdt apnra chaile niye paren,50
besh vlo।,9
onek cute 🥰,11
bro ja chaichhi tai paisi,22
item ta amazing aami 5 star gave apnra nite paro,52
wow ek ti product,20
besh bhal ekti prdt। u all jodi chao nite paro।,49
"good product.
onek pryojniy jinis ekta।",42
kub bhalo,8
"ek ktha amazing।। sobai niye paren। 
thnks",43
prdt valooo bt damta ittu beshi,38
"vaija onek valo
look kubi shundor",34
product bhlo tobe daam lil bit kmano drkar,38
ei pnjti onek vlo aapni nite paren,35
price ta ektu besi kintu vlo ase 🙂,34
valoi ase tobe dam ta ek tu beshi he ja,37
bks ta darun,13
khb valo 😍👍,11
charjing r ta use kori nah। phone chrg dite gele bjak part khule rimuv korte hoi।,82
apnarao nite paro,18
onnk sundar,12
"ojatar dichchhi redmi not eliven pr 
aichhe no mdel ami nijeo janina 
alah taderke hedajet dan kruk 
tobe nijt krchhi ar jibne daraz ojap thke kichu kinbo naa 
ekdm phaltu",169
Thank you ❤️,12
selarer bjbhar vishn kharap tui tkari kre. highly not recommend this shop. avoid this type of seller,99
jader e rv nie no obhijog ase tara amdr kachhe mesej die fully chjat ti dekhar onurodh ril।  tnx,108
"The product quality has not been tested yet. I will give a review mark after checking the quality of this product. 
ekhnea pnjer man priksha kra hy nai. ei pnjer gunman priksha krar pre ami prjalochna chihn deb।",213
"prodaktta motamuti vlo but daam considering prodaktta arektu bhlo hole besh valo hoto।
othba damta arektu less hole bodh hoi bhalo hto।
dlv bro r bebohar valooo silo।",164
valoi dbitijbarer mto order korlam।  age  ekta  nichhi but valoi jodi chao niye paren u। damta beshi mone hoice aamar kachhe-🌺💐🥰🇧🇩,124
ur muljban mntbj r j apnake let know countless thx। ❤️ chesta krbo agamite dan kmie rakhar।,98
kub bhal seemed blbo nah but bad & na eta harije jaojar smvabna bsh r khule jai easily  ek ta jinis valo lagchhe seta hl delivery aamar grame ese dije geche delivar vaike countless thnks,186
apnar muljban bktbj prdan krar j apnake let know countless thx।,68
"alhmdu ank bhlo prod sobai nite paren 
emon seen temni peyechi dlvry man er bebohar kubi vlo 
thank you daraz",130
alhamdulillah onek bhal prodact eti phoner j onk valo u all nite paro ami je rkm order krchhilam tk sei rkmi pichi ekdm shomoy mtn। sbcheje amake apnader delivery man ke onnk bhal legechhe because mi duidin basaj chhilam nah duidin pr aamar prodaktti batil nah kore abaro nije esechhe dlv man vaija ke onek thx। uni aamar prodaktti tk time delivery koreche thx।,379
thanks। eto sundor rvw prdan krar jonno।,42
silvar kalarer dite blechhilam dilen red color।apnarai blsen silvar kalarerta diben।,82
"kajer ek ta jinish mobailer jonno
mi use kori। tnx valo ek ta product er j",81
alhamdulillah khub bhal ek ti  product,39
"sbkichhui bhalo, jerkmta dekhechi temntai pichi। tobe jinsh onupate damta ek tu bsh mne hoice।",91
tk if more thake nite paren । tb product er small bksta onnk sundr cilo,75
khub bhlo prdt sbai nite paro tb daam ta 80 takar modhye hole bhalo hoto।,74
aamar kachhe productTa khubi bhlo legechhe।,34
khub e bhlo maner prodact।,26
"alhamdulillah, 
kom price e onk shundor prod, 
thanks seller ke,,",66
thank you..😊❤️,14
all kichu bhal khali type c pot ta lagate gele onnk shokt,53
valo onnk sundor dlvry bro r bebahar more valooo kub vlo felt,66
"alhamdulillah emon cheechhi temon peechhi, 
thnks seller ke, 💝💝",61
ur muljban mntbj prdan krar jonno apnake lots thx।,62
jini gulo mota muti bhlo shobai nite jodi chao nite paren,52
khubi bhal ek ta prod pelaam। knt damta lil bit more। je color cheechhi setai peechhi।,84
"alhmdu jemon cheechhi temon peechhi, 
thnks seller ke 💝💝",60
apnar muljban mntbj prdan korar jonno apnake oshongkho thx।,62
"jinishta kubi valooo cilo। amar pochondo hechhe, apnara o nite paro।",61
"shundor jinish, ank thanks,  slr, & drz ke।।",49
thjangk iu so mach ato shundor ek ta prodact giving jnno,54
"khubi chamotkar ponno।
mi thki ni, mane apnarao thkben nah।nie nin।",61
"prodact gulo valoi
besh kichhudin bebahar krei 
rv korlam",58
"bhlo ase,kinte paren kintu amar mneh dam lil bit more।",53
to see sundor prod bt aamar kno kaje aseni!,50
duhkhit sjar।😔,14
osadharon  kintu Microphone er jjak ta dharalo ।,47
darun jinsh। seller ke thanks।,29
"motamuti valooo
but damta ek tu less hole vlo hoto,😊😊",47
prodaktti kub bhlo na thx drz,37
bhalo tobe support naa thakle khunje paoa jabe na,45
malta khb sundor seller  vaike onk dhonnobad,42
osthir product 👍👍👍,20
kub bhal damta ek tu beshi,24
alhdlh prodaktti hate pelam,37
thank you... 😍,14
"eitao kajer jinish। 
dhonyobad Daraz 💚",35
thnks apnake ur muljban mntbj prdan krar jonno,54
vlo koaliti nite parne valo hbe❤️,35
shundor preadakt and p‌ja‌ke‌jing।,33
"Product valo kintu white part ta wide ektu km hle valo hto, Product Recommend👍",79
seller k msg diyechi kono reply nah.. product o kharap.. worst experience ever daraz e.. 1 star o beshi hobe,108
