sentence,character_count,sentiment
You didn't give a box with it. You should provide a box with it!,64,0
"Amar shomoy, energy, taka shob hudai noshto holo.",49,0
hair oil ta use kore scalp e onek itching. formula agree korce na,65,0
The quality is very good. The silicone is very soft. Babies will have a lot of fun brushing. A very good thing. The baby's mother can take the baby in her hands and let the baby brush. Best for babies aged one to two years.,223,1
"Price hishebe product thikase. But I requested the seller to give me a black one, he did saw my message still sent me an orange one. Very unprofessional",152,1
alhamdulillah  jemon vabsi temon paisi sukria 🥰,47,1
Seller misguide koreche. Wrong info about product.,50,0
Product quality Supper. packaging also good. Recommended.... Chaile nite paren.,79,1
Shudhu shudhu taka nosto korlam. Ei dam e er theke onek bhalo product baire pawa jay.,85,0
jemonti cheyechilam temonTii peyechi. 100% Recommended. chaile apnarao nite paren🥰,82,1
"expire date is till 2028 but open korar 12 month er modhe use Korte hbe
overall good",84,1
thanks daraz,12,1
"Delivery ekdom slow, ar jinish o bhenge geche.",46,0
Seller ra shudhu taka chenche.,30,0
"packaging valo chilo na!! khubi baje pkg, normal polly 1ta te diyechilo, prod fete vitore ja chilo shob bere gece 😤",115,0
Amar Daraz er upor onek faith chilo.,36,0
purai osthir jemonti chaichi temontii paichi🥰🥰🥰😍❤️ ar ami je ta comment korbo sheta nishchintay nite paro💯,106,1
"khub ekta valo na, motamuti.",28,0
onk vlo ....sobai nite paren,28,1
"Kine jodi pashchatap korte hoy, tahole kinar mane ki?",53,0
Order diyechi kintu paini..aksathe 3 ta order korechi kintu ashche 2 ta..arekta koi..,85,0
"Kom er vitor onk valo quality ai detergent ta
ai niye 3bar order korlam",71,1
Overall Goods. I’m satisfied . You can buy this product.,56,1
Amar mon kharap hoye geche ei jinish dekhe.,43,0
dilam Kalo also green clr 🤡,27,0
"Bhai Original Air birds ,,, ajk hata pailam . seller bai k thanks sound quality o vhalo 🖤
price onek kom 
keo chaila Nita paren",127,1
"daam onujayi valoi, kintu ami nibar pore aro daam kome gelo. sabai nite paren💥💥💥",80,1
Original product bole duplicate pathiyeche. Barcode o scan hoy na. Cheater!,75,0
Picture a jaita dekci oi ta dan ni,34,0
Nice jemon dekhte oi rokom e and obviously eita te ar ki problem hobe....,73,1
vi product akdom baga spring kag kora na,40,0
"very good item, thanks to daraz for give me the best product.",61,1
"the bulb is ok. but the problem is that, IT DOES NOT ROTATE!! THERE IS A CRACK!
not that good",93,1
headphone ta pore 1 week e nosto hoye gelo. total lokchan,57,0
Best quality.thank you,22,1
"Waterproof bola hoise, pani lagle e dead.",41,0
"reasonable Price er modde product ta krp na. 
bolte gele onk valoo?
Tnx daraz🥰",78,1
Taka nise kintu product dei nai,31,0
eyeliner tip broken condition e ashlo. poorly packed,52,0
Thanks a lot Star Ship for there So Good product.,49,1
coil gulo valo ache. mosha taray. dhowa kom.,44,1
blush color beautiful!! pigmentation boro boro. daraz best deal,63,1
Nice But choice e 5 products nicilam daraz bolcilo gift dei but kichu deini.. gift jokhn dibeni nah to mittha kn bolen,118,0
Original bole duplicate diyeche. My bad for trusting.,53,0
"wow, ei AirPods ta dekhe monta ekdom vore gelo!😍 shotti premium lagche. 1st chobi te charging caseTa hatey nie dariyecho, orange lightTa jolche - full charged ar ready to go. ANC stikar o dekhchi. premium quality.",213,1
lighter aalo picture er aalo r shathe kono mil nei keno?,56,0
amazing product. i'm satisfied and highly recommended to others. thanks.,72,1
"ekhon o babohaar kora hoy ni, tobe valo mone hochhe.",52,1
"Daraz CS shudhu 'sorry' bole, action nai.",41,0
"powder gulo use kora hoyni, use er pore review dibo. tobe ei damey best powder, meyad 1 bochor ache. delivery man bashar kache ese diye gece, sheta valo",152,0
"Jeta pathanor kotha, sheta na. Purai bekar product.",51,0
cable ta 2 din por thekei problem. bending hoy na properly. cheap material,74,0
"ei juger speaker e bluetooth system nei, hatashojanak + hashyokhor!! kinar por ekebore hotobbak hoye gelam 😤",108,0
productTa hatey peyechi khub olpo shomoye. emniteo onek valo mone hocche😊😊,74,1
daraz voucher apply hoy nai!! cart e add korlam but discount ashe nai,69,0
"perfect, khubi valo product keu caile nite paren",48,1
allhamdullah onek valo product . jemon ta cheachi thik temon. ami khusi,71,1
"Bhai, personal er Jonno Bhalo onek.",35,1
the item seems good,19,1
valo kaj kore. khub beshi jhajhalo gondho nake lage na.,55,1
Ami amar bandhu der o Daraz theke kinte mana korbo.,51,0
alhamdulillah khub sundor products.,35,1
pkg khula korte giye dekhsi already used!! second hand mal pathiyeche. purai fraud seller,89,0
"Age Daraz bhalo chilo, ekhon bekar hoye geche.",46,0
"delivery vaiya ta valo ! jei time bolchilen thik sei time e aschen ! Product er packet er obstha kharap eta Daraz company er fault ! ei gula thik kore dewa uchit 

Headphone valo ! Alhamdulillah 😊
charger ta dewa uchit chilo vai 🙂",230,1
Daraz has lost a customer for good.,35,0
exeent,6,1
Vhaloi acheee krp nh nite paren💗,32,1
this always good. face wash and dry cleaning wipes 😦😦,53,1
"Light ta khub dim, shokto kaje kono help kore na.",49,0
shaar apnake onek dhonnobad sundor review deoar jonno❤️❤️❤️❤️,61,1
"product ta jakhon kinchilam vabchilam valo. prothom dike onek valo chilo prai ek ghonta. tarpor hothat ar chole na, ghureo na, jolweo na. ekdam pochhamaal bhai, eta keu kinben na.",179,0
use korlam 2/3 din pore akhon AR charge dileo on Hoy na  ata ki change kore dite parben,87,0
toy ashlo broken condition e!! child safety niye daraz serious hoa uchit,72,0
Not bad at all considering the pricing & build quality! Authentic product. Really liking it.,92,0
Next time onno site theke kinbo.,32,0
"valo na. mosha maranoto duurer kotha, room theke jayoo na.",58,0
mone hochhe valoi hobe. tobe babohaar korle bujha jabe er quality.,66,1
3ta order korchi 3tai tik moto paichi...packaging darun chilo...ekhon dekhi product kemon hoi...asha kori valo hobe,115,1
ami vabteo pari nai je eto valo hobe ..alhamdulillah .je colour bolechi oi colour paisi..2 diner modhe delivery paisi ..seller 100% trusted..apnara jara nite chan nite paren ..ei bajet e best ekta neckbend...delivery man o valo chilo.sob mile 100/100,250,1
onek valo sobai nite paren kono kotha nai ekdom sei Alhamdulillah ❤️‍🩹,70,1
Packaging ato kharap chilo je product ta bhenge chure haat e esheche. Delivery man er o kono dhyan chilo na.,108,0
Purchase in Daraz 9:9 from the Choice store. Cost 89Tk per 1kg pack,67,1
"product ta onek valo chilo, amar cheler jonno kinechi. chaile apnara nite paren olpo daamer modhye. riyan er jonno niyechi, kanle chalu kore dei💝",145,1
Perfectly delivered and got well. I am satisfied very much,58,1
"seller genuine prod diyeche tnx!! bt daraz er uchit delivery company niye sotorok thaka!! paperfly ekdom baje courier, shobsomoy late kore + delivery ultopalto vabe dey 😤 prod niye complaint nei, date 2027 porzonto, sabai nite paren",232,0
valoi,5,1
ager ageo babohaar korechi. baazarer tulonay kom daame peyechi. dhonnobad daraz.,80,1
"shala batpar, cheater!! order er shomoy bolchhilo indian prod dibe. ekhon dekhi bangladesh er jinis diyeche!! seller k 🖕🖕🖕 message korle 1-2 din pore reply kore. jinis return pathailam 😡",186,0
kaporer smell onek kharap. dry clean korte hobe sure,52,0
"facewash ta patla + onek ta nile fena hoy na keno jani! moisturizer ta kaj kore, face smooth thake kintu fena hoy keno na shetai problem. fena na hole issue nai nite paren. daraz theke onek bash kheyechi 🥲",205,0
order 3 pcs. Extremely good. Sei.... motion view rocks,54,1
"etar shathe shugondhi babohaar korle valo hoto, ghorer modhye pura gondho onubhob hoy.",86,0
ei daame coil gulo besh valo.,29,1
onek vlo ekta product apnara chaile nite paren👍,47,1
"Order number ta diyechilam, kintu order tracking kaj kore na.",61,0
shoe size 42 diyeche kintu 41 er moto feel korce. sizing issue ache,67,0
Seller chat e reply dei na. CS o useless.,41,0
thik thak silo,14,1
Product ta hathat kore kaj kora bondho kore dilo.,49,0
Daraz ar trustworthy na.,24,0
kitchen rack quality sturdy!! utensils soja organize korte parcilam,67,1
"product ta ekdom bekar!! order korlam 2 weeks age, akhono deliver hoy nai. daraz er service totally wrost 😡",107,0
olpo kichu ache complete kora jai na,36,0
Mone hoy Daraz ar bhalo product beche na.,41,0
"order korechi multicolor ar apni pathiyechen ek color keno bhai? shototaar shathe byobsha korle unnoti kora jay, noile shorajiban churii kore jaben. shofolta dekhte parben na.",175,0
"eta onek valo, ekhon porjonto 2 baar order korlam, abar order korbo egulo shesh hole.",85,1
"Good product, I am happy to buy this speaker. Thank to daraz",60,1
Good product but they gave me the wrong color,45,0
"Nice Brush
Very soft & Easily usedable.",39,1
4ta product er modhye 2ta damaged condition e peyechi!! open kore check o kore nai seller. pathetic packing 😠,109,0
valo silo khub valo sobai nite paren .ami onek gulo niyasi,58,1
Half working product. Ki kaj korbo eta diye?,44,1
batpar konokhan!! date over hoye gece tai kete diyeche!! batpar ei gulo 😡,73,0
Alhamdulillah vlo product kew caile nite paren.,47,1
onk balo are ami 6 mas por review dilam akhono calai,52,1
"Satisfied with the product,Fast delivery",40,1
kinar 1 week er moddhe head phone damage hoye gese ekdom baje 🙁,63,0
valoi.... kharap na,19,1
"lifeTa chhoto hole hobe ki, kaj boro boro dekhte o khub sundor lage. delivery man taka onek por bkash e niyeche. chaile apnara nite paren.",138,1
Customer service call korle bollo Daraz responsible na. Tahole ke responsible?,78,0
vlo cilo but jta caiclm onnota dicee,36,0
Alhamdulillah product found as per order. Per Kg Cost  98.00 Tk MRP: 130 Tk,75,1
screen protector perfectly fit korce!! bubble nai ekta o. application easy chilo 👌,82,1
"Valoi ase powderta, Apnara chaile try korte paren 👍",51,1
"nokol product 
avabe cholte thakle daraz ar opor astha Uthe jabe",64,0
"nice product. onk onk valo detergent powder.
asa kori sob sob somoy ei rokom valo product diben",95,1
very good quality detergent you guys can buy malmal,51,1
prod thik bt charge beshi time thake na!! 30 min o backup dey na 😤,66,0
dam hisabe valoi mone hosse...98 tk kore porse 1kg,50,1
organizer tray khub helpful!! drawer neat hoye gece. recommend,62,1
same payase jemon ta Chaya selam temon tai paya se rider onek valo,66,1
eto baje packaging. shob nosto hoye giyeche. Very bad packaging.,64,0
nicely delivered. regular kini. market theke kome pawa jai. quality ok.,71,1
received the coils. I always liked these. this is my 3rd time purchase from them. although no coil is good but these are far better than other coils in the market.,163,1
saree color fast!!! 1st wash e r color ja berolo pani r shathe. waste,69,0
this product is useful and that was very good,45,1
blazer fitting ekdom perfect!! office e onek compliment pailam,62,1
amar babur jonmodiner jonno order korchi. dhonnobad daraz er madhyome ponyta hatey paichi❤️❤️,93,1
chhuri e deyni!! chhuri chara ki diye katbo?? ekdom baje!! delivery deowar age check kora uchit apnader 😡,105,0
my package was shredded,23,0
sracthed maybe used..  build quality temon na norbore.. ,56,0
"valoi, kharap na.",17,1
Good looking tube and best face wash for this price,51,1
jerokom caici sei rokom paici.. sobai nite paren,48,1
Uninstalling Daraz app. Bye bye.,32,0
shampoo use kore hair feel korchi soft!! boro recommend korbo,61,1
Ei product ta kenar cheye na kine thaka better chilo.,53,0
leak hoye ber hoye gece!! 😤,27,0
"Just After using This Brightening licorice face wash my nephew's face skin feels so light and velvety soft smooth, and it's lovely aromatic scent is just wow, love it 🫠 I both this men face wash for my nephew and he just love it 💖",230,1
"product ti onek valo r fast delivery chilo r ami vule amar onno product ta valo na hoyai return korte giye eitai refund kore felechi r ami ta cancel korte chai . asa kori help korben 
Thanks 👍",192,1
keyboad ta purai joss🥰🥰👌👌,25,1
Vlo.  Nitay paran sobai.,24,1
"faltu jinish. Mitar taw tamon valo na.
Amr mona hossa use kora mal Disa. Power basi dila komata gila plus lagba🤣🤣",113,0
Hathat kore kaj kora bondho kore dilo.,38,0
Vibration onek beshi. Use korte uncomfortable.,46,0
Charge thakena,14,0
kom dame valo jinis ...bahire ae dame kono sabaner gura e dekhini,65,0
They sold me a refurbished product as new.,42,0
Ami erom ekta product jibone dekhi nai. Ato kharap quality.,59,0
ami onk din dhore ai powder ta use kori amnite vloi lage amr kache,66,1
alhamdulillah 1 diner moddhe delivery pailam seller ke tnx,58,0
onk chip Marka products. mony hoy melay 50 TK Kore sell kore oy taupe. facial korle korle Kono fena hoy na r Kono improve bojha Jai na . sampo moto mone hoy,156,0
thank you sir.ato sundor akta review deor jonno,47,1
Alhamdulillah got the product.Recommended ❤️,44,1
Daraz er QC team ki kore? Ghumiye ache?,39,0
Daraz is no longer reliable.,28,0
sundor ache smell ta. pore ese review dicchi pic nai,52,1
protein powder taste ok kintu dissolve properly hoy na. clumpy,62,0
gripper ta onek valo chaile apnara nite paren,45,1
"Jal product beche Daraz. Shame, shame!",38,0
Daraz tader customer haracche,29,0
"Khola packet e esheche, jeta ekdom unprofessional.",50,0
nice but idk koto din valo thakbe,33,1
"Authentic product, I'm pleased on this product also delivery n package 👌✅",73,1
thik Thak ace original face wash delivery man ar bebohar o vlo cilo,67,1
Packaging and delivery process khuv valo chilo,46,1
quality not good. not recomended.,33,0
"Bhai eke kothai joss ekta jinish dice bolar basha nai jmn caichi tar cahite onk valo dice all over melai joss ekta jinish 💜

tnq you seller bhai k ❤️",149,1
treadmill delivery late r assembly service pathay nai. frustrating,66,0
"alhamdulillah onk kome pelam😃.
11.11 offer e nilam.
bkash payment e Cashback bade 75 tk kg porche sathe abr 1 packet extra free diche seller vaiya 💖💖
thank you so much seller vai r daraz
r delivery man vai to purai💕💕💕 unkeo thanks",230,1
Hathat off hoye jay. Ki problem bujhi na.,41,0
Seller er behaviour rude. Complaint korleo kaj hoy na.,54,0
yoga mat slip kore during exercise!! safety risk ache,53,0
Daraz er name kharap hocche ei shob jinisher jonno.,51,0
that is the best product in our low budget.so shopping and enjoy,64,1
"Product khub valo, reasonable price a bhalo product. Use kore bhalo legeche.",76,1
polo shirt er collar already bend hoye gece. ekdom low quality,62,0
gift er jonno valo.,19,1
Ami Daraz app uninstall korbo. Ei bepar er pore.,48,0
Customer loyalty harabe Daraz erokom korle.,43,0
"Somoy moto Delivery kora hoyece, product o Valo.",48,1
This is best deal. 50% discount diye product ta pawa jacche and genuine product o provide korche.,97,1
Thanks at this price,20,1
khub kharap vanga ekta light diyechen ki vabe dilen eta 😥😥😥daraz theke kokhono kharap kichu pai ni but apnra eta korchen vanga ta somossa na but light jole na😑,159,0
"Money back guarantee chilo, kintu ami pabo na.",46,0
"Jal product, original na. Dhoka khailam.",40,0
ak din use krei nshto hye gche,30,0
lightTi khuboi pochhhond hoyeche amar. daam onujayi product valo. dhonnobad daraz eto valo ponyo deoar jonno.,109,1
"kharap na, budget onujayi chole, tobe kotha bolar shomoy ektu shomoshya hochhe.",79,0
"Thank you Daraz, amar din ta pura kharap kore deyar jonno.",58,1
ekdom baje!! charger chara headphone dey kivabe?? pkg kore ja se dekhsune korbe na? eto baje lagche bhai 😤,106,0
"Used item pathiyeche, notun bole becheche.",42,0
onek kom daame peyechi. valoi hobe mone hochhe.,47,1
it's a good product quality. next time abar order dibo,54,1
fresh was ta value for money..ar onk vlo,40,1
"Seller rude, complaint korle shune na.",38,0
"khub valo, dokane daam aro besi, chaile nite paren.",51,1
ai coil ami onek gulo kinesi valo ar aktu valo korrar chesta korben,67,1
"Ordhek khali e chilo..r panir moto ekdom patla chilo hate newar agei pore jay

tachara sob thik asilo meyad 2027 porjonto chilo",127,1
Original product bolei mone hocche. bakita use korar pore jana jabe.,68,1
alhamdulillah jemonta cheyesi thik temon tai peyesi . thank you sell ar k,73,0
"When I received it, I was heartbroken as there was no keyboard with it. but now, using it with my Honor Pad X7 via Bluetooth , I am impressed. It comes with a usb dongle which I don't need to use at the moment. It also supports WIFI 2.4G. It's a wonderful gadget. I would be very happy If I could have the keyboard along with it as a pair.",339,0
just wow onrk sundor and quality ta o valo,42,1
review a dekun ja ase tai disi btw thanks for the feedback,58,1
Daraz ke bolbo ei seller er against e action nite.,50,0
Return process pura torture. Taka nosto.,40,0
Charging cable missing. This is big mistake. May be its was a very old item. I don't know How will Darag deliver the charging cable to me? I Waitting for Daras Answer.,167,0
"ageo nisi,  motamoti, dam tulona mulok aktu kom",47,1
multiple orders korsi kintu partial delivery dilo. rest koi?,60,0
ekebore baje!! 0/10 😡,21,0
ekdom Valo na ekta baje ekta baje na😡😡😡😡😡😡😡😡😡😡😡😡,48,0
Received in perfect condition with a good packaging & I really appreciate it. Thanks a lot.,91,1
Satisfied... neckband valo and authentic... battery backup valoi pelam ... price range e best .,95,1
onek valo product total 200 kg use korsi but akhono kono boucher pelam na syore theke...pele valo lagto,103,1
"bro 1st time daraz theke kinlam, experience khub smooth. will buy again inshallah",81,1
alhamdulillah budget hisebe ekdomoi 100 te 100. packaging o khub valo vabe kora hoyechilo. ekdom valo vabe e hatey peyechi.,123,1
akdom sera akta product 😍 packet mullo 130 tk ar amra paisi 79 takai aita onk vlo hoisa onk happy ami tnq daraz,111,1
"Chobi te boro dekhiyeche, real e choto toy.",43,0
"Product ta notun na, used product pathiyeche. Ekdom scratch chilo.",66,0
ami black color caisilam unara blue color disa aminta product ta valoi apnara caila nita paran!!,96,0
Quality tik e aca… recommended,30,1
dhowa hoi onk,13,0
"I'm so frustrated, I could scream.",34,0
Daraz ekta customer haralo forever.,35,0
ALHAMDULILLAH..qwt,18,1
Received in good condition product i think It's also work good.,63,1
jemon ta chaisilam temon e paisi onek vlo sobai nite paren,58,1
"khuboi baje product. ekTa valo, dan kaner ta noshto paichi.",59,0
Ami Daraz e khoroch kora shob takar jonno regret korchi.,56,0
thank you sir.ato sundor akta review deor jonno,47,1
It was good experience to purchase from the seller.,51,1
lighter aalo onek kom.,22,0
bread ashlo stale condition e. smell o bad chilo,48,0
product valo cilo,17,1
"valo, sabai nite paren, ami age ek baar, ekhon abar nilam.",58,1
"My Baby likes it..
Get the same color which I ordered. Quality Not Bad

Recommend 👍",83,1
"alhamdulillah valo paici 
Thank you",35,1
"Khub disappointed. Expectations chilo onek, kintu...",52,0
"prothombaar order korechi, khub valo, seller bhai ke dhonnobad.",63,1
89 takay niyechilam per piece... best products... but packaging not good.,73,0
Have been using it for quite a long time now. Very good product. Budget friendly also.,86,1
Ami frustrated. Money waste. Kono kajer na ei jinish.,53,0
Nice Product. Expiry Date ache aro 2 years. Packing was good. Thanks Saller.,76,1
product ta khub joldi peyechi .. 26 sal projonto meyad jemon ti dekhcji temon e peyechi,87,1
"Packaging purai khola, security nai.",36,0
This is a very good product. I really like this product,55,1
sob kisu thik thak silo.akhn use kore dekhte hbe kmn kaje dey.onk kom.dame paisi,80,1
This product is the worst among all.,36,0
Got it in very low price. The Facewash itself is obviously good.,64,1
alhamdulillah valo product diche. sby nite paren.,49,1
Daraz er uchit ei seller ke ban kora.,37,0
coil ti valo ache.,18,1
ekdom baje!! 0/10 😡,19,0
same as picture deo hoise btw thank you sir.ato sundor akta review deor jonno,77,1
dekhe valoi mone hocche ekhon use kore dekhi kemon,50,1
return policy boro complicated!! 5 step process. exhausting,59,0
packet chira chilo.chira packet scotch tape diye lagiye dise.  use korlam.valoi laglo.price onk kom.,100,0
Amar shob kichu waste hoyeche.,30,1
instant bright feel hoy wash korar por.. worth it!♥️,52,1
akhono use kora hoe nai,23,0
dilam Kalo also green clr 🤡,27,1
A good & average face wash for men with a lower price and good fragrance. Cleanse good. But it can't clean deeply and can't exfoliate the pores. You can get instant freshness and a little bit of glowing skin for a while. Slightly recommended.,242,1
lombar product.,15,0
Seller pura fraud. Ami report korbo.,36,0
"motamuti valo mone hochhce, use kore dekhte hobe kemon. kharap hole abar edit kore likhbo",89,0
Delivery boy rude ar help kore nai.,35,0
onek balo product,17,1
Any 3 store e 1 kg matro 95 tk kore lagche.  Sathe free delivery.,65,1
Valo 2nd time kinlam.,21,1
"sei mama, darun quality",23,1
Valo chilo..Valo products sobai nite paren,42,1
juice bottle leaking chilo!! half waste hoye gelo already,57,0
Product 1 din er moddhei off hoye geche.,40,0
Packaging onk valo chilo. Akono use kori nai but dekhe mone hoche valo hobe,75,1
malta valo ace,14,1
alhamdulillah khub valo ekta ponno. chaile apnara sabai nite paren.,67,1
price hisebe motamuti valo.,27,1
good product. sovai nite paren,30,1
"good product, on time delivery, expiry date valoi. recommended",62,1
khub e kharap packaging daraz er packaging er dike nojor deya uchit,67,0
"daam hisabe productTi valoi, tobe button systemTi chole na, dukher bishoy.",74,0
magnetic cutting fruit toy hole vlo hoto,40,0
valoi kharap na kintu expensive 🥲,33,1
"bola hoyechilo panchta item kinle ekti gift free, kintu ami kichu painee.",73,0
Return system pura headache. Ami ar parchi na.,46,0
"good to see,how it performs that is the matter",46,1
"Ai earphone ta dekhay akta product r dey r akta product. tader aita kora moteo uchit na, daraz er kono kisu kokhono khuilla dekha jay na ai jonno ami deikkha anteo pari nai basay ainna dekhi ami jeita odder dici oita na onno ta dice aigula ki vai😡😡😡
ami akta product 5 takay kini r 5000 takay kini jeita odder dibo oitai to dewa uchit seta hok quality kharap hok valo. amra sobai jani je amra kom takay ja kinbo oita ektu kharap ba jekono rokom hotei pare but ai jonno akta dekhaiya onno ta dewa aita kemon 😡😡😡😡😡
faltu frot mittha badi",535,0
Alhumdulillah sob tik tak chilo tnx minister 🥰🥰🥰,48,1
Speaker ekta sound kore.. Arektate sound nei.. Ekta speaker nosto.. Price  onujaye temon valo na.. But delivery khub druto chilo..,130,0
"vitore facewash kom, 
r ektu chotw krlei parten 🥲.
ekhono use kri nai",69,0
valo product..original..dokan theke onk kom price porse,55,1
faltu product!! waste of money,30,0
"khub valo product. 
sobay nite paren.",37,1
product ta bhalo e. kom dame exercise korar jonno bhalo ekta jinish. also thanks to the shop and delivery boy,109,1
"very useful product for baby 
excellent...",42,1
Product er quality ato sosta hat diye e bhanga jay.,51,0
update product dece. Sobai nete paren,37,1
"husband gift korechi, use kore valo boleche,shundor kore pack kore dieche",73,1
Material sosta ar flimsy.,25,0
thank you sir.ato sundor akta review deor jonno,47,1
Alhamdulillah.... product ta khubi vlo peyechi❤️❤️,50,1
smelta khub ekta valo na.,25,0
Its good the sound quality is incredible,40,1
Dekhalen ki r dilen ki? Kau kinben na,37,1
product vlo delivery o time motoi cilo..,40,1
"bhai ami jeta paichi eita ektu kono sound shona jay na, ekhon ki korte pari?",76,0
upore sob to thik e ase vitore mal kom hawa beshi baki use korar por dekha jabe,79,0
product expire date check korben!! amakeo expire ta diyeche. dangerous,70,0
